taxid,name,rank
77038,Wolbachia endosymbiont of Drosophila simulans,species
1236908,Wolbachia sp. wNo,genome
444163,Brucella microti,species
568815,Brucella microti CCM 4915,genome
206379,Nitrosomonadaceae,family
914,Nitrosomonas,genus
1444684,Nitrosomonas stercoris,species
75682,Oxalobacteraceae,family
29580,Janthinobacterium,genus
2590869,Janthinobacterium sp. SNU WT3,species
213554,Halomonas campaniensis,species
33056,Candidatus Kinetoplastibacterium crithidii,species
1208918,Candidatus Kinetoplastibacterium crithidii TCC036E,genome
69328,Pseudomonas sp. VLB120,species
267891,Moritellaceae,family
58050,Moritella,genus
90736,Moritella marina,species
1202962,Moritella marina ATCC 15381 MP-1,genome
57975,Burkholderia thailandensis,species
1249663,Burkholderia thailandensis H0587,genome
875170,Celeribacter,genus
1758178,Celeribacter ethanolicus,species
1009856,Buchnera aphidicola USDA,genome
290425,Advenella,genus
302406,Advenella mimigardefordensis,species
1247726,Advenella mimigardefordensis DPN7,genome
743277,Bordetella pertussis B1917,genome
2024979,Bacteriovoracales,order
1652132,Halobacteriovoraceae,family
1652133,Halobacteriovorax,genus
97084,Halobacteriovorax marinus,species
862908,Halobacteriovorax marinus SJ (Bacteriovorax marinus),genome
131079,Limnobacter,genus
2732163,Limnobacter sp. SAORIC-580,species
1330546,Pluralibacter,genus
61647,Pluralibacter gergoviae,species
1234365,Helicobacter pylori Rif1,genome
2094023,Glaesserella,genus
738,Glaesserella parasuis,species
1322346,Glaesserella parasuis ZJ0906 (Haemophilus parasuis ZJ0906),genome
1191478,Magnetococcales,order
1191479,Magnetococcaceae,family
162171,Magnetococcus,genus
1124597,Magnetococcus marinus,species
156889,Magnetococcus marinus MC-1,genome
407,Methylobacterium,genus
270351,Methylobacterium aquaticum,species
1382926,Helicobacter pylori oki828,genome
213115,Desulfovibrionales,order
194924,Desulfovibrionaceae,family
2582840,Desulfocurvibacter,genus
873,Desulfocurvibacter africanus,species
690850,Desulfocurvibacter africanus subsp. africanus Walvis Bay,genome
267890,Shewanellaceae,family
22,Shewanella,genus
62322,Shewanella baltica,species
407976,Shewanella baltica OS223,genome
1382700,Escherichia coli O18:K1 PMV-1 (ExPEC),genome
1853130,Pseudomonas silesiensis,species
985080,Helicobacter pylori 2018,genome
294,Pseudomonas fluorescens,species
1037911,Pseudomonas fluorescens A506,genome
34019,Liberibacter,genus
34021,Candidatus Liberibacter asiaticus,species
537021,Candidatus Liberibacter asiaticus psy62,genome
585057,Escherichia coli O7:K1 IAI39 (ExPEC),genome
74030,Roseovarius,genus
2587850,Roseovarius sp. THAF27,species
267894,Psychromonadaceae,family
67572,Psychromonas,genus
314282,Psychromonas sp. CNPT3,species
1706369,Cellvibrionales,order
1706372,Halieaceae,family
1217416,Halioglobus,genus
930805,Halioglobus japonicus,species
302485,Phaeobacter,genus
1844006,Phaeobacter porticola,species
28450,Burkholderia pseudomallei,species
1229785,Burkholderia pseudomallei BPC006,genome
236,Brucella ovis,species
444178,Brucella ovis ATCC 25840,genome
80864,Comamonadaceae,family
201096,Alicycliphilus,genus
179636,Alicycliphilus denitrificans,species
596153,Alicycliphilus denitrificans BC,genome
52972,Polaromonas,genus
216465,Polaromonas naphthalenivorans,species
365044,Polaromonas naphthalenivorans CJ2,genome
518,Bordetella bronchiseptica,species
568707,Bordetella bronchiseptica 253,genome
693745,Helicobacter pylori B8,genome
28196,Arcobacter,genus
28197,Arcobacter butzleri,species
367737,Arcobacter butzleri RM4018,genome
106589,Cupriavidus,genus
106590,Cupriavidus necator,species
2321115,Halarcobacter,genus
663364,Halarcobacter bivalviorum,species
93217,Pandoraea,genus
656178,Pandoraea vervacti,species
53408,Pseudomonas citronellolis,species
204458,Caulobacterales,order
76892,Caulobacteraceae,family
75,Caulobacter,genus
1679497,Caulobacter flavus,species
90627,Gallionellaceae,family
935200,Sulfuricella,genus
649841,Sulfuricella denitrificans,species
1163617,Sulfuricella denitrificans skB26,genome
2108399,Pectobacterium punjabense,species
244366,Klebsiella variicola,species
640131,Klebsiella variicola At-22,genome
31993,Methylocystaceae,family
133,Methylocystis,genus
187303,Methylocystis sp. SC2,species
1348660,Serratia plymuthica S13,genome
29459,Brucella melitensis,species
520466,Brucella melitensis bv. 3 Ether,genome
74032,Antarctobacter,genus
74033,Antarctobacter heliothermus,species
33989,Rickettsia amblyommatis,species
57665,Sulfurospirillum,genus
44674,Sulfurospirillum barnesii,species
760154,Sulfurospirillum barnesii SES-3,genome
1104321,Brucella canis HSK A52141,genome
40136,Oligotropha,genus
40137,Oligotropha carboxidovorans,species
1031710,Oligotropha carboxidovorans OM4,genome
160674,Raoultella,genus
577,Raoultella terrigena,species
702,Plesiomonas,genus
703,Plesiomonas shigelloides,species
335927,Thalassobius,genus
53501,Thalassobius gelatinovorus,species
28898,Campylobacter helveticus,species
1032072,Arcobacter molluscorum,species
870501,Malaciobacter molluscorum LMG 25693 = CECT 7696,genome
354203,Yangia,genus
311180,Yangia pacifica,species
2486578,Rickettsiales endosymbiont of Stachyamoeba lipophora,species
872,Desulfovibrio,genus
63561,Desulfovibrio sulfodismutans,species
1121464,Desulfovibrio sulfodismutans DSM 3696,genome
963,Herbaspirillum,genus
341045,Herbaspirillum hiltneri,species
1262470,Herbaspirillum hiltneri N3,genome
483179,Brucella canis ATCC 23365,genome
76936,Helicobacter typhlonius,species
1407059,Pseudomonas aeruginosa PA38182,genome
1835721,secondary endosymbiont of Trabutina mannipara,species
152267,Pigmentiphaga,genus
1940612,Pigmentiphaga aceris,species
745,Pasteurella,genus
754,Pasteurella dagmatis,species
176102,Pseudoalteromonas agarivorans,species
1312369,Pseudoalteromonas agarivorans DSM 14585,genome
203804,Candidatus Blochmannia,genus
203907,Candidatus Blochmannia floridanus,species
2742,Marinobacter,genus
2743,Marinobacter hydrocarbonoclasticus,species
1163748,Marinobacter hydrocarbonoclasticus ATCC 49840,genome
267849,Nitrincola,genus
2614693,Nitrincola sp. KXZD1103,species
1883416,Halomonas sp. 1513,species
1163739,Helicobacter pylori Shi417,genome
783,Rickettsia rickettsii,species
1105101,Rickettsia rickettsii Hlp#2,genome
61646,Lelliottia amnigena,species
45401,Hyphomicrobiaceae,family
59282,Blastochloris,genus
2233851,Blastochloris tepida,species
1525371,Neorhizobium,genus
399,Neorhizobium galegae,species
1028800,Neorhizobium galegae bv. orientalis HAMBI 540,genome
1671721,Marinobacter sp. CP1,species
876,Desulfovibrio desulfuricans,species
641491,Desulfovibrio desulfuricans ND132,genome
1500960,Campylobacter sp. RM16704,species
1775403,Nevskiales,order
568386,Sinobacteraceae,family
413435,Solimonas,genus
2303331,Solimonas sp. K1W22B-7,species
1807140,Acidithiobacillia,class
225057,Acidithiobacillales,order
225058,Acidithiobacillaceae,family
119977,Acidithiobacillus,genus
930,Acidithiobacillus thiooxidans,species
637390,Acidithiobacillus thiooxidans ATCC 19377,genome
1055530,Helicobacter pylori SNT49,genome
781,Rickettsia conorii,species
272944,Rickettsia conorii Malish 7,genome
41295,Rhodospirillaceae,family
171436,Tistrella,genus
171437,Tistrella mobilis,species
1110502,Tistrella mobilis KA081020-065,genome
1706371,Cellvibrionaceae,family
316625,Saccharophagus,genus
86304,Saccharophagus degradans,species
203122,Saccharophagus degradans 2-40,genome
28095,Burkholderia gladioli,species
48736,Ralstonia,genus
305,Ralstonia solanacearum,species
859657,Ralstonia solanacearum PSI07,genome
1235990,Candidatus Pantoea carbekii,species
1812935,Enterobacter roggenkampii,species
1499973,Escherichia marmotae,species
135617,Thiotrichaceae,family
40751,Thioploca,genus
40754,Thioploca ingrica,species
188905,Jannaschia,genus
290400,Jannaschia sp. CCS1,species
520487,Brucella suis bv. 3 686,genome
13687,Sphingomonas,genus
160791,Sphingomonas wittichii,species
392499,Sphingomonas wittichii RW1,genome
715,Actinobacillus pleuropneumoniae,species
434271,Actinobacillus pleuropneumoniae JL03 (serotype 3),genome
1469502,Burkholderiales bacterium GJ-E10,species
391905,Methylocystis heyeri,species
866768,Escherichia coli BL21-Gold(DE3)pLysS AG,genome
34037,Rahnella,genus
34038,Rahnella aquatilis,species
745277,Rahnella aquatilis CIP 78.65 = ATCC 33071,genome
1481923,Vibrio astriarenae,species
2666100,Neisseria brasiliensis,species
157782,Pseudomonas parafulva,species
213462,Syntrophobacterales,order
213465,Syntrophobacteraceae,family
29526,Syntrophobacter,genus
119484,Syntrophobacter fumaroxidans,species
335543,Syntrophobacter fumaroxidans MPOB,genome
1120045,Rhizobium grahamii,species
135614,Xanthomonadales,order
32033,Xanthomonadaceae,family
40323,Stenotrophomonas,genus
40324,Stenotrophomonas maltophilia,species
1163399,Stenotrophomonas maltophilia D457,genome
666,Vibrio cholerae,species
686,Vibrio cholerae O1 El Tor FJ147,genome
257313,Bordetella pertussis Tohama I,genome
29471,Pectobacterium atrosepticum,species
724,Haemophilus,genus
727,Haemophilus influenzae,species
202,Campylobacter mucosalis,species
206389,Rhodocyclales,order
2008794,Zoogloeaceae,family
12960,Azoarcus,genus
418699,Azoarcus olearius,species
244566,Pseudomonas lurida,species
655015,Methylocystis bryophila,species
696406,Escherichia coli UMNK88 (ETEC,genome
920,Acidithiobacillus ferrooxidans,species
243159,Acidithiobacillus ferrooxidans ATCC 23270,genome
1341656,Francisella tularensis subsp. tularensis SCHU S4 NR-28534,genome
615,Serratia marcescens,species
435998,Serratia marcescens WW4,genome
93220,Pandoraea pnomenusa,species
1416914,Pandoraea pnomenusa 3kgm,genome
909946,Salmonella enterica subsp. enterica serovar Typhimurium ST4/74,genome
1134687,Klebsiella michiganensis,species
1308980,Klebsiella michiganensis HKOPL1,genome
2370,Xylella,genus
2371,Xylella fastidiosa,species
788929,Xylella fastidiosa subsp. fastidiosa GB514,genome
329,Ralstonia pickettii,species
402626,Ralstonia pickettii 12J,genome
807,Bartonella elizabethae,species
470,Acinetobacter baumannii,species
1434011,Komagataeibacter,genus
33995,Komagataeibacter europaeus,species
96230,Legionella fallonii,species
1212491,Legionella fallonii LLAP-10,genome
629,Yersinia,genus
29483,Yersinia aldovae,species
1453495,Yersinia aldovae 670-83,genome
34072,Variovorax,genus
436515,Variovorax boronicumulans,species
991903,Polymorphum,genus
991904,Polymorphum gilvum,species
991905,Polymorphum gilvum SL003B-26A1,genome
29485,Yersinia rohdei,species
357,Agrobacterium,genus
160699,Agrobacterium larrymoorei,species
515417,Amphritea,genus
452627,Amphritea japonica,species
1278309,Amphritea japonica ATCC BAA-1530,genome
1407071,Acinetobacter sp. TGL-Y2,species
191033,Oleiphilaceae,family
141450,Oleiphilus,genus
141451,Oleiphilus messinensis,species
1064551,Salmonella enterica subsp. enterica serovar Thompson RM6836,genome
655184,Candidatus Thioglobus,genus
2508687,Candidatus Thioglobus sp. NP1,species
409304,Candidatus Ishikawaella,genus
168169,Candidatus Ishikawaella capsulata,species
476281,Candidatus Ishikawaella capsulata Mpkobe,genome
35817,Helicobacter heilmannii,species
1216962,Helicobacter heilmannii ASB1.4,genome
2601894,Halioglobus maricola,species
102608,Helicobacter pylori F32,genome
1194424,Zymomonas mobilis subsp. mobilis NRRL B-12526,genome
135624,Aeromonadales,order
84642,Aeromonadaceae,family
642,Aeromonas,genus
644,Aeromonas hydrophila,species
1418107,Aeromonas hydrophila pc104A,genome
441,Gluconobacter,genus
442,Gluconobacter oxydans,species
1224746,Gluconobacter oxydans H24,genome
1382922,Helicobacter pylori oki128,genome
60136,Sulfitobacter,genus
2070369,Sulfitobacter sp. JL08,species
69277,Phyllobacteriaceae,family
68287,Mesorhizobium,genus
28104,Mesorhizobium huakuii,species
763057,Mesorhizobium huakuii 7653R,genome
213116,Desulfomicrobiaceae,family
898,Desulfomicrobium,genus
132132,Desulfomicrobium orale,species
888061,Desulfomicrobium orale DSM 12838,genome
861365,Klebsiella pneumoniae subsp. rhinoscleromatis SB3432,genome
1249660,Burkholderia thailandensis 2002721643,genome
135618,Methylococcales,order
403,Methylococcaceae,family
73778,Methylocaldum,genus
1432792,Methylocaldum marinum,species
380021,Pseudomonas protegens,species
1124983,Pseudomonas protegens CHA0,genome
114185,Candidatus Carsonella,genus
114186,Candidatus Carsonella ruddii,species
1202537,Candidatus Carsonella ruddii CS,genome
1420599,Pseudomonas protegens Cab57,genome
407020,Sphingobium sp. MI1205,species
1079,Blastochloris viridis,species
47879,Pseudomonas corrugata,species
536056,Escherichia coli DH1,genome
476528,Bibersteinia,genus
47735,Bibersteinia trehalosi,species
1263829,Bibersteinia trehalosi USDA-ARS-USMARC-188,genome
108981,Acinetobacter schindleri,species
34008,Rhodovulum,genus
1564506,Rhodovulum sp. P5,species
224372,Alcanivoracaceae,family
59753,Alcanivorax,genus
1094342,Alcanivorax xenomutans,species
191,Azospirillum,genus
192,Azospirillum brasilense,species
1064539,Azospirillum baldaniorum Sp245 (Azospirillum brasilense Sp245),genome
29,Myxococcales,order
31,Myxococcaceae,family
83461,Corallococcus,genus
35,Corallococcus macrosporus,species
47670,Lautropia,genus
47671,Lautropia mirabilis,species
219181,Ottowia,genus
1658672,Ottowia sp. oral taxon 894,species
843,Wolinella,genus
844,Wolinella succinogenes,species
273121,Wolinella succinogenes DSM 1740,genome
1045317,Sphingomonas lutea,species
222,Achromobacter,genus
32002,Achromobacter denitrificans,species
243277,Vibrio cholerae O1 El Tor N16961,genome
263377,Salipiger,genus
1229727,Salipiger profundus,species
335405,Sphingosinicella,genus
335406,Sphingosinicella microcystinivorans,species
1537215,Rhodobacteraceae bacterium Lw-13e,species
413,Methylococcus,genus
414,Methylococcus capsulatus,species
243233,Methylococcus capsulatus Bath,genome
1412461,Salmonella enterica subsp. enterica serovar Enteritidis EC20090332,genome
316,Pseudomonas stutzeri,species
644801,Pseudomonas stutzeri RCH2,genome
1306418,Burkholderia pseudomallei HBPUB10134a,genome
197,Campylobacter jejuni,species
1383068,Campylobacter jejuni subsp. jejuni 00-2544,genome
632,Yersinia pestis,species
413496,Cronobacter,genus
413503,Cronobacter malonaticus,species
1159491,Cronobacter malonaticus LMG 23826,genome
785,Rickettsia typhi,species
1003201,Rickettsia typhi TH1527,genome
224914,Brucella melitensis bv. 1 16M,genome
72276,Ectothiorhodospiraceae,family
106633,Thioalkalivibrio,genus
108010,Thioalkalivibrio paradoxus,species
713585,Thioalkalivibrio paradoxus ARh 1,genome
155493,Gallibacterium,genus
750,Gallibacterium anatis,species
1005058,Gallibacterium anatis UMN179,genome
1009857,Buchnera aphidicola W106,genome
2004650,Acinetobacter chinensis,species
1765964,Acidihalobacter,genus
160660,Acidihalobacter prosperus,species
1419584,Aeromonas hydrophila J-1,genome
1920240,Kangiellaceae,family
261963,Kangiella,genus
1144748,Kangiella sediminilitoris,species
1775411,Rhodanobacteraceae,family
242605,Luteibacter,genus
2589080,Luteibacter pinisoli,species
2100764,Mixta,genus
1458355,Mixta theicola,species
1060,Rhodobacter,genus
1063,Rhodobacter sphaeroides,species
557760,Rhodobacter sphaeroides KD131,genome
255473,Parvularculales,order
255474,Parvularculaceae,family
208215,Parvularcula,genus
208216,Parvularcula bermudensis,species
314260,Parvularcula bermudensis HTCC2503,genome
592316,Pantoea sp. At-9b,species
325240,Shewanella baltica OS155,genome
109232,Rickettsia monacensis,species
1302376,Candidatus Pseudomonas adelgestsugas,species
149698,Massilia,genus
321984,Massilia plicata,species
28105,Sinorhizobium,genus
382,Sinorhizobium meliloti,species
707241,Sinorhizobium meliloti SM11,genome
71433,Mesorhizobium amorphae,species
1082933,Mesorhizobium amorphae CCNWGS0123,genome
419475,Ochrobactrum pseudogrignonense,species
95486,Burkholderia cenocepacia,species
331272,Burkholderia cenocepacia HI2424,genome
1904640,Betaproteobacteria bacterium GR16-43,species
96344,Cupriavidus oxalaticus,species
198214,Shigella flexneri 301 (serotype 2a),genome
51228,Wigglesworthia,genus
51229,Wigglesworthia glossinidia,species
36870,Wigglesworthia glossinidia (Wigglesworthia brevipalpis),genome
1310165,Ralstonia pseudosolanacearum,species
68,Lysobacter,genus
1605891,Lysobacter maris,species
1283312,Sphingomonas wittichii DC-6,genome
84531,Lysobacter antibioticus,species
2661800,Georhizobium,genus
2341112,Georhizobium profundi,species
352,Azotobacter,genus
354,Azotobacter vinelandii,species
322710,Azotobacter vinelandii DJ,genome
959,Bdellovibrio bacteriovorus,species
103855,Bordetella hinzii,species
281310,Haemophilus influenzae 86-028NP (nontypeable),genome
264,Francisella tularensis subsp. novicida DPG 3A-IS (Francisella tularensis subsp. tularensis WY96),genome
1813019,Campylobacter hepaticus,species
33993,Neorickettsia,genus
950,Neorickettsia risticii,species
434131,Neorickettsia risticii Illinois,genome
549298,Francisella halioticida,species
29449,Rhizobium etli,species
347834,Rhizobium etli CFN 42,genome
1792508,Yangia sp. CCB-MM3,species
2035811,Pseudodesulfovibrio,genus
182210,Pseudodesulfovibrio aespoeensis,species
643562,Pseudodesulfovibrio aespoeensis Aspo-2 (Desulfovibrio aespoeensis Aspo-2),genome
47883,Pseudomonas synxantha,species
1261126,Mannheimia haemolytica D153,genome
633,Yersinia pseudotuberculosis,species
502801,Yersinia pseudotuberculosis PB1/+ (serotype 1B),genome
1328325,Klebsiella pneumoniae subsp. pneumoniae KPR0928,genome
1008297,Salmonella enterica subsp. enterica serovar Typhimurium 798,genome
1673076,Sphingobium hydrophobicum,species
1758179,Aeromonas sp. ASNIH5,species
13134,Magnetospirillum,genus
1639348,Magnetospirillum sp. ME-1,species
1804663,Haematospirillum,genus
1549855,Haematospirillum jordaniae,species
135616,Piscirickettsiaceae,family
2039723,Thiomicrorhabdus,genus
2580412,Thiomicrorhabdus sp. G1,species
497,Psychrobacter,genus
45610,Psychrobacter urativorans,species
1133852,Escherichia coli O104:H4 2011C-3493 (EAEC),genome
233316,Alteromonas stellipolaris,species
28448,Komagataeibacter xylinus,species
1296990,Komagataeibacter xylinus E25 (Gluconacetobacter xylinus E25),genome
693444,Enterobacteriaceae bacterium strain FGI 57,species
217,Helicobacter mustelae,species
679897,Helicobacter mustelae 12198,genome
214092,Yersinia pestis CO92 (biovar Orientalis),genome
1279008,Pseudomonas aeruginosa PA1R,genome
138563,Helicobacter cetorum,species
182217,Helicobacter cetorum MIT 00-7128,genome
1906659,Candidatus Hoaglandella,genus
1778263,Candidatus Hoaglandella endobia,species
428406,Ralstonia pickettii 12D,genome
272630,Methylorubrum extorquens AM1,genome
97481,Pasteurella skyensis,species
452,Legionella spiritensis,species
206,Campylobacter sputorum,species
1031920,Campylobacter sputorum bv. faecalis CCUG 20703,genome
271848,Burkholderia thailandensis E264,genome
630,Yersinia enterocolitica,species
1443113,Yersinia enterocolitica LC20,genome
216778,Stenotrophomonas rhizophila,species
225143,Oceanisphaera,genus
1903694,Oceanisphaera avium,species
712310,Haemophilus sp. oral taxon 036,species
357544,Helicobacter pylori HPAG1,genome
509170,Acinetobacter baumannii SDF,genome
267893,Idiomarinaceae,family
135575,Idiomarina,genus
1096243,Idiomarina piscisalsi,species
995019,Sutterellaceae,family
40544,Sutterella,genus
2494234,Sutterella megalosphaeroides,species
178399,Marinomonas primoryensis,species
1416627,Oceanisphaera profunda,species
374,Bradyrhizobium,genus
858423,Bradyrhizobium arachidis,species
165696,Novosphingobium,genus
