ko_id,name,label
K04793,"mycobactin lysine-N-oxygenase",ko
K17624,"endo-alpha-N-acetylgalactosaminidase [EC:3.2.1.97]",ko
K24264,"aspartate 1-decarboxylase [EC:4.1.1.11]",ko
K16747,"Bardet-Biedl syndrome 2 protein",ko
K16637,"adenylate cyclase ExoY",ko
K20060,"arrestin-related trafficking adapter 2/8",ko
K23278,"phosphatidylethanolamine N-acyltransferase [EC:2.3.1.-]",ko
K03542,"photosystem II 22kDa protein",ko
K24171,"one cut domain family member 3",ko
K10438,"3-hydroxyphenylacetate 6-hydroxylase [EC:1.14.13.63]",ko
K01705,"homoaconitate hydratase [EC:4.2.1.36]",ko
K14364,"trem-like transcript 2 protein",ko
K06821,"plexin B",ko
K23410,"histidine-rich glycoprotein",ko
K05147,"tumor necrosis factor receptor superfamily member 11A",ko
K04831,"acid-sensing ion channel 4",ko
K12575,"kinetochore protein SLK19",ko
K19500,"anoctamin-6",ko
K07332,"archaeal flagellar protein FlaI",ko
K14187,"chorismate mutase / prephenate dehydrogenase [EC:5.4.99.5 1.3.1.12]",ko
K11912,"serine/threonine-protein kinase PpkA [EC:2.7.11.1]",ko
K22160,"F420H2 dehydrogenase subunit C [EC:1.5.98.3]",ko
K21540,"mycinamicin VI 2''-O-methyltransferase [EC:2.1.1.238]",ko
K01879,"glycyl-tRNA synthetase beta chain [EC:6.1.1.14]",ko
K12449,"UDP-apiose/xylose synthase",ko
K10644,"E3 ubiquitin-protein ligase CHFR [EC:2.3.2.27]",ko
K13074,"biflaviolin synthase [EC:1.14.19.69]",ko
K22809,"inositol phosphorylceramide glucuronosyltransferase 1 [EC:2.4.1.-]",ko
K06808,"cadherin 13, H-cadherin",ko
K18498,"dual specificity phosphatase 9 [EC:3.1.3.16 3.1.3.48]",ko
K01108,"myotubularin [EC:3.1.3.64 3.1.3.95]",ko
K19022,"AP-5 complex subunit beta-1",ko
K11239,"pheromone-response scaffold protein",ko
K23251,"O104-antigen biosynthesis beta-1,3-galactosyltransferase",ko
K08199,"MFS transporter, OCT family, solute carrier family 22 (organic cation transporter), member 2",ko
K06000,"papain [EC:3.4.22.2]",ko
K03742,"nicotinamide-nucleotide amidase [EC:3.5.1.42]",ko
K22054,"zingiberene synthase [EC:4.2.3.65]",ko
K12197,"charged multivesicular body protein 1",ko
K13185,"ATP-dependent RNA helicase DHX30 [EC:3.6.4.13]",ko
K03515,"DNA repair protein REV1 [EC:2.7.7.-]",ko
K06279,"SHC-transforming protein 1",ko
K11863,"Ataxin-3 [EC:3.4.22.-]",ko
K05514,"C-C motif chemokine 1",ko
K17936,"sorting nexin-27",ko
K04930,"potassium voltage-gated channel KQT-like subfamily member 5",ko
K17968,"TRIAP1/MDM35 family protein",ko
K10518,"zinc finger and BTB domain-containing protein 47",ko
K12076,"disks large protein 1",ko
K02690,"photosystem I P700 chlorophyll a apoprotein A2",ko
K21704,"phosphatidylcholine 12-monooxygenase [EC:1.14.18.4]",ko
K08876,"SCY1-like protein 1",ko
K12487,"G protein-coupled receptor kinase interactor 2",ko
K19405,"protein arginine kinase [EC:2.7.14.1]",ko
K23931,"protein FAM83H",ko
K19502,"anoctamin-8",ko
K00150,"glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]",ko
K04394,"caspase 4 [EC:3.4.22.57 3.4.22.64]",ko
K01796,"alpha-methylacyl-CoA racemase [EC:5.1.99.4]",ko
K11590,"methyl-CpG-binding domain protein 2",ko
K18287,"2-amino-4,5-dihydroxy-6-oxo-7-(phosphooxy)heptanoate synthase [EC:4.1.2.56]",ko
K12971,"interferon-activable protein 202",ko
K12952,"cation-transporting P-type ATPase E [EC:7.2.2.-]",ko
K14175,"(3S,6E)-nerolidol synthase [EC:4.2.3.48]",ko
K22393,"flavin reductase (NADH) subunit 1 [EC:1.5.1.36]",ko
K13585,"holdfast attachment protein HfaA",ko
K12659,"N-acetyl-gamma-glutamyl-phosphate reductase / acetylglutamate kinase [EC:1.2.1.38 2.7.2.8]",ko
K23595,"retinoic acid receptor responder protein 1",ko
K16603,"tubulin polyglutamylase TTLL9 [EC:6.-.-.-]",ko
K20858,"calcium uniporter protein, mitochondrial",ko
K21828,"CRP/FNR family transcriptional regulator, arginine deiminase pathway regulator",ko
K12552,"penicillin-binding protein 1 [EC:3.4.-.-]",ko
K22287,"apolipoprotein C-II",ko
K07952,"ADP-ribosylation factor related protein 1",ko
K19532,"Delta14-sterol reductase (lamin-B receptor) [EC:1.3.1.70]",ko
K20977,"two-component system, HptB-dependent secretion and biofilm response regulator",ko
K20656,"plasmanylethanolamine desaturase [EC:1.14.19.77]",ko
K06350,"antagonist of KipI",ko
K16863,"microRNA 21",ko
K00073,"ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]",ko
K14255,"4-amino-anhydrotetracycline N4-methyltransferase [EC:2.1.1.335]",ko
K16069,"disintegrin and metalloproteinase domain-containing protein 29 [EC:3.4.24.-]",ko
K23389,"killin",ko
K00953,"FAD synthetase [EC:2.7.7.2]",ko
K21986,"kunzeaol synthase [EC:4.2.3.143]",ko
K12088,"cag pathogenicity island protein 3",ko
K04807,"nicotinic acetylcholine receptor alpha-5",ko
K08928,"photosynthetic reaction center L subunit",ko
K09891,"uncharacterized protein",ko
K10953,"RTX toxin RtxA",ko
K07570,"general stress protein 13",ko
K19941,"synapsin",ko
K09789,"pimeloyl-[acyl-carrier protein] methyl ester esterase [EC:3.1.1.85]",ko
K15570,"naphthyl-2-methylsuccinate CoA transferase subunit [EC:2.8.3.-]",ko
K06233,"low density lipoprotein-related protein 2",ko
K14978,"two-component system, LuxR family, secretion system sensor histidine kinase SsrA",ko
K09708,"angiotensin-converting enzyme 2 [EC:3.4.17.23]",ko
K04602,"cadherin EGF LAG seven-pass G-type receptor 3",ko
K16903,"L-tryptophan---pyruvate aminotransferase [EC:2.6.1.99]",ko
K14704,"solute carrier family 26 (sulfate anion transporter), member 6",ko
K09867,"aquaporin-5",ko
K09192,"transcription factor Sp2",ko
K13565,"4-hydroxybenzoate geranyltransferase [EC:2.5.1.93]",ko
K06652,"cyclin-dependent kinase inhibitor FAR1",ko
K08542,"hepatocyte nuclear factor 4-beta",ko
K12895,"heterogeneous nuclear ribonucleoprotein C-like 2",ko
K01746,"formiminotetrahydrofolate cyclodeaminase [EC:4.3.1.4]",ko
K20326,"protein XagA",ko
K21620,"galactitol 2-dehydrogenase [EC:1.1.1.16]",ko
K16041,"non-LEE-encoded effector NleA",ko
K13747,"carboxynorspermidine decarboxylase [EC:4.1.1.96]",ko
K10338,"ankyrin repeat and SOCS box protein 16",ko
K02085,"adenomatosis polyposis coli protein",ko
K03986,"complement C1q subcomponent subunit A",ko
K02038,"phosphate transport system permease protein",ko
K04957,"hyperpolarization activated cyclic nucleotide-gated potassium channel 4",ko
K08709,"nuclear receptor, other families, insect",ko
K01446,"peptidoglycan recognition protein",ko
K06985,"aspartyl protease family protein",ko
K06681,"Gdp/GTP exchange factor required for growth at low temperatures",ko
K21089,"MerR family transcriptional regulator, activator of the csg genes",ko
K23593,"alpha-2-macroglobulin-like protein",ko
K12640,"brassinosteroid-6-oxidase 2 [EC:1.14.-.-]",ko
K17847,"forkhead box protein O6",ko
K01768,"adenylate cyclase [EC:4.6.1.1]",ko
K06794,"neurocan core protein",ko
K12571,"PAB-dependent poly(A)-specific ribonuclease subunit 2 [EC:3.1.13.4]",ko
K22686,"pro-apoptotic serine protease NMA111 [EC:3.4.21.-]",ko
K22473,"alcohol dehydrogenase (quinone), dehydrogenase subunit [EC:1.1.5.5]",ko
K02385,"flagellar protein FlbD",ko
K22734,"progressive ankylosis protein",ko
K21962,"TetR/AcrR family transcriptional regulator, transcriptional repressor of aconitase",ko
K01807,"ribose 5-phosphate isomerase A [EC:5.3.1.6]",ko
K09852,"Ras association domain-containing protein 3",ko
K02702,"photosystem I 4.8kDa protein",ko
K15854,"alkanal monooxygenase beta chain [EC:1.14.14.3]",ko
K01444,"N4-(beta-N-acetylglucosaminyl)-L-asparaginase [EC:3.5.1.26]",ko
K17183,"microRNA 31",ko
K17231,"iodotyrosine deiodinase [EC:1.21.1.1]",ko
K15989,"tylactone mycaminosyltransferase [EC:2.4.1.316]",ko
K10804,"acyl-CoA thioesterase I [EC:3.1.2.- 3.1.2.2 3.1.1.2 3.1.1.5]",ko
K01604,"methylmalonyl-CoA decarboxylase subunit alpha [EC:7.2.4.3]",ko
K06983,"uncharacterized protein",ko
K20064,"growth factor receptor-bound protein 10",ko
K13745,"L-2,4-diaminobutyrate decarboxylase [EC:4.1.1.86]",ko
K14600,"dibenzofuran dioxygenase subunit beta [EC:1.14.12.-]",ko
K07975,"Rho family, other",ko
K00082,"5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]",ko
K03415,"two-component system, chemotaxis family, chemotaxis protein CheV",ko
K17784,"MICOS complex subunit MIC10",ko
K01506,"5-aminopentanamidase [EC:3.5.1.30]",ko
K01453,"6-aminohexanoate-oligomer exohydrolase [EC:3.5.1.46]",ko
K02437,"glycine cleavage system H protein",ko
K07693,"two-component system, NarL family, response regulator DesR",ko
K22171,"F420H2:quinone oxidoreductase subunit A [EC:1.1.98.4]",ko
K03373,"N-acetylgalactosaminide alpha-2,6-sialyltransferase (sialyltransferase 7C) [EC:2.4.99.-]",ko
K13382,"(S)-norcoclaurine synthase [EC:4.2.1.78]",ko
K18212,"synaptosomal-associated protein 47",ko
K09331,"short stature homeobox protein",ko
K15172,"transcription elongation factor SPT5",ko
K14104,"energy-converting hydrogenase A subunit M",ko
K03654,"ATP-dependent DNA helicase RecQ [EC:3.6.4.12]",ko
K13795,"citrate/tricarballylate utilization protein",ko
K23722,"iron(III)-enterobactin esterase [EC:3.1.1.108]",ko
K04974,"transient receptor potential cation channel subfamily V member 5",ko
K00181,"O-palmitoleoyl transferase [EC:2.3.1.250]",ko
K17613,"calcineurin-binding protein cabin-1",ko
K11263,"acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]",ko
K17190,"microRNA 515",ko
K14341,"solute carrier family 10 (sodium/bile acid cotransporter), member 1",ko
K12734,"peptidyl-prolyl cis-trans isomerase-like 3 [EC:5.2.1.8]",ko
K06139,"PqqA peptide cyclase [EC:1.21.98.4]",ko
K24628,"protein rogdi",ko
K14222,"tRNA Cys",ko
K19210,"beta-lactamase class D OXA-61 [EC:3.5.2.6]",ko
K06276,"3-phosphoinositide dependent protein kinase-1 [EC:2.7.11.1]",ko
K17143,"microRNA 1908",ko
K07262,"serine-type D-Ala-D-Ala endopeptidase (penicillin-binding protein 7) [EC:3.4.21.-]",ko
K18953,"factor associated with neutral sphingomyelinase activation",ko
K00264,"glutamate synthase (NADH) [EC:1.4.1.14]",ko
K15847,"outer membrane protein BabA",ko
K04275,"lysophosphatidic acid receptor 4",ko
K03210,"preprotein translocase subunit YajC",ko
K22772,"flavonol-3-O-glucoside L-rhamnosyltransferase [EC:2.4.1.159]",ko
K13825,"hemoglobin subunit epsilon",ko
K20484,"lantibiotic biosynthesis protein",ko
K18170,"complex III assembly factor LYRM7",ko
K05490,"interleukin 17B",ko
K07058,"membrane protein",ko
K16207,"marneral synthase [EC:5.4.99.53]",ko
K07130,"arylformamidase [EC:3.5.1.9]",ko
K04975,"transient receptor potential cation channel subfamily V member 6",ko
K07190,"phosphorylase kinase alpha/beta subunit",ko
K02967,"small subunit ribosomal protein S2",ko
K22804,"structural maintenance of chromosomes protein 6",ko
K17307,"fibulin 1/2",ko
K13674,"phosphoglycan alpha-1,2-arabinopyranosyltransferase [EC:2.4.2.-]",ko
K17405,"small subunit ribosomal protein S26",ko
K01375,"cathepsin V [EC:3.4.22.43]",ko
K21160,"enediyne biosynthesis protein E2",ko
K14620,"riboflavin transporter 2",ko
K06388,"stage II sporulation protein SA",ko
K17380,"microRNA 615",ko
K15965,"glycosyltransferase [EC:2.4.1.-]",ko
K07461,"putative endonuclease",ko
K03534,"L-rhamnose mutarotase [EC:5.1.3.32]",ko
K13920,"propanediol dehydratase small subunit [EC:4.2.1.28]",ko
K19271,"chloramphenicol O-acetyltransferase type A [EC:2.3.1.28]",ko
K01123,"sphingomyelin phosphodiesterase D [EC:3.1.4.41]",ko
K14979,"two-component system, LuxR family, secretion system response regulator SsrB",ko
K12203,"defect in organelle trafficking protein DotB [EC:7.2.4.8]",ko
K01399,"pseudolysin [EC:3.4.24.26]",ko
K04694,"suppressor of cytokine signaling 1",ko
K03079,"L-ribulose-5-phosphate 3-epimerase [EC:5.1.3.22]",ko
K08552,"estrogen-related receptor alpha",ko
K16643,"glia-derived nexin",ko
K18618,"growth arrest-specific protein 7",ko
K19617,"two-component system, response regulator FitH",ko
K21206,"(-)-4'-demethyl-deoxypodophyllotoxin 4-hydroxylase [EC:1.14.14.132]",ko
K12053,"ComB4 competence protein",ko
K23659,"LEE-encoded effector EspZ",ko
K14854,"ribosome assembly protein 3",ko
K11357,"two-component system, cell cycle sensor histidine kinase DivJ [EC:2.7.13.3]",ko
K07816,"putative GTP pyrophosphokinase [EC:2.7.6.5]",ko
K15808,"beta-caryophyllene synthase [EC:4.2.3.57]",ko
K16314,"serine/threonine-protein kinase ELM1 [EC:2.7.11.1]",ko
K08514,"vesicle-associated membrane protein 5",ko
K16872,"beta-ketodecanoyl-[acyl-carrier-protein] synthase [EC:2.3.1.207]",ko
K16383,"polyene macrolide polyketide synthase, A-type KR domains",ko
K22475,"alcohol dehydrogenase (quinone) subunit AdhS",ko
K04963,"ryanodine receptor 3",ko
K06337,"spore coat-associated protein S",ko
K06914,"tyramine---L-glutamate ligase [EC:6.3.4.24]",ko
K23285,"PTB domain-containing engulfment adapter protein 1",ko
K24531,"mycinamicin VII 6-deoxyallosyltransferase [EC:2.4.1.-]",ko
K13591,"two-component system, cell cycle response regulator PopA",ko
K11476,"GntR family transcriptional regulator, gluconate operon transcriptional repressor",ko
K03750,"molybdopterin molybdotransferase [EC:2.10.1.1]",ko
K08436,"G protein-coupled receptor 152",ko
K07125,"uncharacterized protein",ko
K21584,"sarcosine reductase complex component B subunit beta [EC:1.21.4.3]",ko
K18802,"glutamine amidotransferase",ko
K17962,"peroxisome proliferator-activated receptor gamma coactivator 1-beta",ko
K08175,"MFS transporter, FHS family, Na+ dependent glucose transporter 1",ko
K22402,"GDNF-inducible zinc finger protein 1",ko
K05845,"osmoprotectant transport system substrate-binding protein",ko
K23272,"pyranose oxidase [EC:1.1.3.10]",ko
K11728,"nucleosome-remodeling factor subunit BPTF",ko
K20203,"sulfide dehydrogenase subunit beta [EC:1.8.1.19]",ko
K16489,"protein SFI1",ko
K15328,"bacillaene synthase trans-acting acyltransferase",ko
K10625,"E3 ubiquitin-protein ligase UBR1 [EC:2.3.2.27]",ko
K15820,"isomultiflorenol synthase [EC:5.4.99.36]",ko
K15442,"tRNA-specific adenosine deaminase 3",ko
K07736,"CarD family transcriptional regulator",ko
K12549,"surface adhesion protein",ko
K13583,"GcrA cell cycle regulator",ko
K05909,"laccase [EC:1.10.3.2]",ko
K01063,"juvenile-hormone esterase [EC:3.1.1.59]",ko
K12894,"heterogeneous nuclear ribonucleoprotein A0",ko
K16015,"oxidoreductase [EC:1.1.1.-]",ko
K02576,"heparan sulfate N-deacetylase/N-sulfotransferase NDST1 [EC:3.1.1.- 2.8.2.-]",ko
K11316,"STAGA complex 65 subunit gamma",ko
K10618,"p-cumic aldehyde dehydrogenase",ko
K22247,"polysialic-acid O-acetyltransferase [EC:2.3.1.136]",ko
K17047,"Ras-related protein Rab-19",ko
K23973,"pre-sodorifen synthase [EC:2.1.1.363]",ko
K18777,"cap3/cap4 methyltransferase [EC:2.1.1.-]",ko
K04397,"caspase 7 [EC:3.4.22.60]",ko
K15164,"mediator of RNA polymerase II transcription subunit 13",ko
K02373,"FAS-associated death domain protein",ko
K21992,"lysine N-acyltransferase [EC:2.3.1.-]",ko
K03138,"transcription initiation factor TFIIF subunit alpha",ko
K15377,"solute carrier family 44 (choline transporter-like protein), member 2/4/5",ko
K05914,"photinus-luciferin 4-monooxygenase (ATP-hydrolysing) [EC:1.13.12.7]",ko
K13175,"THO complex subunit 6",ko
K02524,"DNA binding protein (fs(1)K10, female sterile(1)K10)",ko
K05224,"gastrin-releasing peptide",ko
K07158,"uncharacterized protein",ko
K04467,"inhibitor of nuclear factor kappa-B kinase subunit alpha [EC:2.7.11.10]",ko
K03570,"rod shape-determining protein MreC",ko
K09843,"(+)-abscisic acid 8'-hydroxylase [EC:1.14.14.137]",ko
K13349,"Mpv17-like protein",ko
K10687,"ubiquitin-conjugating enzyme E2 F [EC:2.3.2.34]",ko
K20902,"D-erythrulose 4-kinase [EC:2.7.1.210]",ko
K19840,"Rho-type GTPase-activating protein",ko
K16834,"sclerostin",ko
K09235,"zinc finger protein RME1",ko
K11436,"type I protein arginine methyltransferase [EC:2.1.1.319]",ko
K15561,"nuclear polyadenylated RNA-binding protein 3",ko
K12272,"signal recognition particle receptor subunit beta",ko
K02947,"small subunit ribosomal protein S10e",ko
K09050,"cAMP response element-binding protein, invertebrate",ko
K03582,"exodeoxyribonuclease V beta subunit [EC:3.1.11.5]",ko
K12089,"cag pathogenicity island protein 4",ko
K09572,"FK506-binding protein 6 [EC:5.2.1.8]",ko
K12645,"epi-isozizaene 5-monooxygenase / beta-farnesene synthase [EC:1.14.13.106 4.2.3.47]",ko
K12688,"autotransporter serine protease [EC:3.4.21.-]",ko
K06739,"sialic acid binding Ig-like lectin 7",ko
K07361,"lymphocyte cytosolic protein 2",ko
K15241,"tetrachlorohydroquinone reductive dehalogenase [EC:1.21.4.5]",ko
K11230,"mitogen-activated protein kinase kinase kinase [EC:2.7.11.25]",ko
K20628,"expansin",ko
K05288,"GPI ethanolamine phosphate transferase 3 subunit O [EC:2.7.-.-]",ko
K19194,"AT-rich interactive domain-containing protein 4A",ko
K00414,"ubiquinol-cytochrome c reductase core subunit 1",ko
K06533,"cadherin 5, type 2, VE-cadherin",ko
K12936,"anthocyanin 5-aromatic acyltransferase [EC:2.3.1.153]",ko
K22356,"alkene monooxygenase reductase",ko
K17233,"dual oxidase maturation factor 1",ko
K15946,"aklavinone 7-alpha-L-rhodosaminyltransferase [EC:2.4.1.326]",ko
K18598,"echinoderm microtubule-associated protein-like 6",ko
K05047,"solute carrier family 6 (neurotransmitter transporter) member 14",ko
K06153,"undecaprenyl-diphosphatase [EC:3.6.1.27]",ko
K02403,"flagellar transcriptional activator FlhD",ko
K06870,"uncharacterized protein",ko
K02553,"regulator of ribonuclease activity A",ko
K08090,"high affinity immunoglobulin epsilon receptor subunit beta",ko
K17701,"signal-induced proliferation-associated 1 like protein 1",ko
K20848,"fructan beta-(2,1)-fructosidase [EC:3.2.1.153]",ko
K00658,"2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]",ko
K04488,"nitrogen fixation protein NifU and related proteins",ko
K11636,"putative ABC transport system permease protein",ko
K16418,"mycolactone core lactone polyketide synthase MlsA1",ko
K17235,"arabinosaccharide transport system permease protein",ko
K06607,"myo-inositol catabolism protein IolS [EC:1.1.1.-]",ko
K23139,"cytochrome P450 family 110 [EC:1.14.-.-]",ko
K18230,"macrolide transport system ATP-binding/permease protein",ko
K19918,"double C2-like domain-containing protein gamma",ko
K06528,"lysosomal-associated membrane protein 1/2",ko
K04171,"C5a anaphylatoxin chemotactic receptor 2",ko
K10177,"T-box protein 3",ko
K19989,"tumor necrosis factor alpha-induced protein 2",ko
K07601,"desmocollin 2",ko
K00746,"chondroitin sulfate N-acetylgalactosaminyltransferase 1/2 [EC:2.4.1.174 2.4.1.175]",ko
K15817,"dammarenediol II synthase [EC:4.2.1.125]",ko
K20030,"palmitoyltransferase ZDHHC5/8 [EC:2.3.1.225]",ko
K02189,"cobalt-precorrin 5A hydrolase [EC:3.7.1.12]",ko
K02951,"small subunit ribosomal protein S12e",ko
K23601,"serine-rich protein",ko
K02978,"small subunit ribosomal protein S27e",ko
K24306,"2-acetamido-4-(D-alanylamino)-2,4,6-trideoxy-D-mannopyranose transferase",ko
K00298,"N5-(carboxyethyl)ornithine synthase [EC:1.5.1.24]",ko
K10117,"raffinose/stachyose/melibiose transport system substrate-binding protein",ko
K21786,"4-hydroxy-2,2'-bipyrrole-5-carbaldehyde O-methyltransferase [EC:2.1.1.-]",ko
K17262,"tubulin-specific chaperone B",ko
K11643,"chromodomain-helicase-DNA-binding protein 4 [EC:3.6.4.12]",ko
K04993,"mucolipin 2",ko
K03550,"holliday junction DNA helicase RuvA [EC:3.6.4.12]",ko
K19688,"biofilm regulator BssR",ko
K09018,"pyrimidine oxygenase [EC:1.14.99.46]",ko
K22085,"methylglutamate dehydrogenase subunit B [EC:1.5.99.5]",ko
K06213,"magnesium transporter",ko
K11685,"DNA-binding protein StpA",ko
K00738,"alpha-1,3-mannosylglycoprotein beta-1,4-N-acetylglucosaminyltransferase A/B [EC:2.4.1.145]",ko
K20573,"2'-deamino-2'-hydroxyneamine 1-alpha-D-kanosaminyltransferase [EC:2.4.1.301]",ko
K08993,"putative membrane protein",ko
K07401,"selenoprotein W-related protein",ko
K03043,"DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]",ko
K06091,"MAGUK p55 subfamily member 5",ko
K06765,"deleted in colorectal carcinoma",ko
K09656,"beta-1,4-N-acetylgalactosaminyltransferase 3 [EC:2.4.1.244]",ko
K01934,"5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]",ko
K01765,"inositol-1,3,4-trisphosphate 5/6-kinase [EC:2.7.1.159]",ko
K23082,"3-deoxy-D-manno-octulosonic acid-hydrolase [EC:3.2.1.144]",ko
K22418,"11beta/17beta-hydroxysteroid dehydrogenase [EC:1.1.1.146 1.1.1.-]",ko
K04958,"inositol 1,4,5-triphosphate receptor type 1",ko
K03589,"cell division protein FtsQ",ko
K14505,"cyclin D3, plant",ko
K06853,"hyaluronan and proteoglycan link protein 4",ko
K01545,"potassium-transporting ATPase KdpF subunit",ko
K06084,"F-box protein 20",ko
K06782,"cell adhesion molecule 2",ko
K09596,"signal peptide peptidase-like 2A [EC:3.4.23.-]",ko
K08762,"diazepam-binding inhibitor (GABA receptor modulator, acyl-CoA-binding protein)",ko
K11303,"histone acetyltransferase 1 [EC:2.3.1.48]",ko
K07576,"metallo-beta-lactamase family protein",ko
K04987,"polycystin 1L1",ko
K07315,"phosphoserine phosphatase RsbU/P [EC:3.1.3.3]",ko
K20732,"transmembrane glycoprotein NMB",ko
K22165,"F420H2 dehydrogenase subunit J [EC:1.5.98.3]",ko
K11053,"CylF protein",ko
K04376,"ETS domain-containing protein Elk-4",ko
K21702,"galactitol 2-dehydrogenase (L-tagatose-forming) [EC:1.1.1.406]",ko
K14207,"solute carrier family 38 (sodium-coupled neutral amino acid transporter), member 2",ko
K07656,"two-component system, OmpR family, sensor histidine kinase TrcS [EC:2.7.13.3]",ko
K22408,"N,N'-diacetylchitobiose non-reducing end deacetylase [EC:3.5.1.136]",ko
K08945,"chlorosome envelope protein A",ko
K11355,"two-component system, chemotaxis family, response regulator Rcp1",ko
K21542,"botryococcene C-methyltransferase [EC:2.1.1.263]",ko
K00513,"steroid 21-monooxygenase [EC:1.14.14.16]",ko
K15972,"tetracenomycin A2 monooxygenase-dioxygenase [EC:1.14.13.200]",ko
K23436,"cytosolic carboxypeptidase protein 4 [EC:3.4.17.24]",ko
K00195,"anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit epsilon",ko
K19432,"anti-repressor of SlrR",ko
K13981,"1,5-anhydro-D-fructose reductase [EC:1.1.1.263]",ko
K04745,"carbohydrate 6-sulfotransferase 2 [EC:2.8.2.-]",ko
K15292,"syntaxin-binding protein 1",ko
K07832,"Ras-like without CAAX 1",ko
K14793,"ribosomal RNA-processing protein 9",ko
K10732,"GINS complex subunit 1",ko
K20051,"low-density lipoprotein receptor-related protein 4",ko
K21396,"ATP-binding cassette, subfamily G (WHITE), eye pigment precursor transporter",ko
K13196,"zinc finger protein ubi-d4",ko
K15216,"RNA polymerase I-specific transcription initiation factor RRN3",ko
K14908,"U17 small nucleolar RNA",ko
K21103,"phenazine-1-carboxylate N-methyltransferase [EC:2.1.1.327]",ko
K10892,"fanconi anemia group E protein",ko
K16751,"C2 domain-containing protein 3",ko
K17542,"SCY1-like protein 3",ko
K04512,"dishevelled associated activator of morphogenesis",ko
K06180,"23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23]",ko
K09038,"neural retina-specific leucine zipper protein",ko
K05052,"neuromedin U receptor 1",ko
K19230,"cationic peptide transport system ATP-binding protein",ko
K20483,"lantibiotic biosynthesis protein",ko
K05580,"NAD(P)H-quinone oxidoreductase subunit I [EC:7.1.1.2]",ko
